,,,,,
,,,,,
Year,Month,Day,Mag.,AU,
2016,1,1,8.2,2.4970,Cetus
2016,1,8,8.3,2.5019,Cetus
2016,1,15,8.4,2.5067,Cetus
2016,1,22,8.5,2.5113,Cetus
2016,2,1,8.5,2.5176,Cetus
2016,2,8,8.6,2.5219,Cetus
2016,2,15,8.6,2.5260,Pisces
2016,2,22,8.6,2.5299,Pisces
2016,3,1,8.7,2.5342,Pisces
2016,3,8,8.7,2.5377,Pisces
2016,3,15,8.7,2.5411,Cetus
2016,3,22,8.7,2.5443,Cetus
2016,4,1,8.6,2.5486,Aries
2016,4,8,8.6,2.5514,Aries
2016,4,15,8.6,2.5540,Aries
2016,4,22,8.6,2.5564,Aries
2016,5,1,8.5,2.5592,Taurus
2016,5,8,8.4,2.5612,Taurus
2016,5,15,8.4,2.5630,Taurus
2016,5,22,8.3,2.5646,Taurus
2016,6,1,8.3,2.5666,Taurus
2016,6,8,8.4,2.5677,Taurus
2016,6,15,8.5,2.5687,Taurus
2016,6,22,8.6,2.5695,Taurus
2016,7,1,8.6,2.5702,Taurus
2016,7,8,8.7,2.5705,Taurus
2016,7,15,8.7,2.5706,Taurus
2016,7,22,8.7,2.5706,Orion
2016,8,1,8.7,2.5701,Orion
2016,8,8,8.7,2.5696,Gemini
2016,8,15,8.7,2.5689,Gemini
2016,8,22,8.7,2.5679,Gemini
2016,9,1,8.7,2.5663,Gemini
2016,9,8,8.7,2.5649,Gemini
2016,9,15,8.6,2.5633,Gemini
2016,9,22,8.6,2.5615,Gemini
2016,10,1,8.5,2.5590,Gemini
2016,10,8,8.5,2.5568,Gemini
2016,10,15,8.4,2.5544,Cancer
2016,10,22,8.3,2.5519,Cancer
2016,11,1,8.2,2.5479,Cancer
2016,11,8,8.0,2.5449,Cancer
2016,11,15,7.9,2.5417,Cancer
2016,11,22,7.8,2.5383,Cancer
2016,12,1,7.6,2.5338,Cancer
2016,12,8,7.5,2.5300,Cancer
2016,12,15,7.3,2.5261,Cancer
2016,12,22,7.1,2.5220,Cancer
2017,1,1,6.9,2.5159,Cancer
2017,1,8,6.7,2.5114,Cancer
2017,1,15,6.4,2.5068,Cancer
2017,1,22,6.5,2.5021,Gemini
2017,2,1,6.7,2.4950,Gemini
2017,2,8,6.9,2.4899,Gemini
2017,2,15,7.1,2.4846,Gemini
2017,2,22,7.2,2.4792,Gemini
2017,3,1,7.4,2.4737,Gemini
2017,3,8,7.5,2.4681,Gemini
2017,3,15,7.6,2.4623,Gemini
2017,3,22,7.8,2.4564,Gemini
2017,4,1,7.9,2.4478,Gemini
2017,4,8,8.0,2.4417,Gemini
2017,4,15,8.1,2.4354,Gemini
2017,4,22,8.2,2.4291,Gemini
2017,5,1,8.2,2.4208,Cancer
2017,5,8,8.3,2.4143,Cancer
2017,5,15,8.3,2.4077,Cancer
2017,5,22,8.4,2.4011,Cancer
2017,6,1,8.4,2.3914,Cancer
2017,6,8,8.4,2.3846,Cancer
2017,6,15,8.4,2.3778,Cancer
2017,6,22,8.5,2.3709,Leo
2017,7,1,8.4,2.3620,Leo
2017,7,8,8.4,2.3551,Leo
